mission_id,timestamp,value,sensor_type_id,channel
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T06:53:48Z,28.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T07:01:48Z,27.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T07:09:48Z,27.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T07:17:48Z,28.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T07:25:48Z,28.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T07:33:48Z,28.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T07:41:48Z,28.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T07:49:48Z,27.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T07:57:48Z,27.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T08:05:48Z,27.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T08:13:48Z,27.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T08:21:48Z,27.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T08:29:48Z,27.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T08:37:48Z,27.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T08:45:48Z,27.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T08:53:48Z,28.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T09:01:48Z,28.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T09:09:48Z,28.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T09:17:48Z,28.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T09:25:48Z,28.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T09:33:48Z,28.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T09:41:48Z,28.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T09:49:48Z,28.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T09:57:48Z,29.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T10:05:48Z,29.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T10:13:48Z,29.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T10:21:48Z,30.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T10:29:48Z,30.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T10:37:48Z,30.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T10:45:48Z,29.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T10:53:48Z,29.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T11:01:48Z,28.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T11:09:48Z,28.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T11:17:48Z,28.0,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T11:25:48Z,26.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T11:33:48Z,28.5,3,999
2f527281-10a5-47a7-a1bf-17f10652f5d0,2018-12-14T11:41:48Z,26.5,3,999
