mission_id,timestamp,value,sensor_type_id,channel
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T06:54:47Z,28.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T07:02:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T07:10:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T07:18:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T07:26:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T07:34:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T07:42:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T07:50:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T07:58:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T08:06:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T08:14:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T08:22:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T08:30:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T08:38:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T08:46:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T08:54:47Z,27.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T09:02:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T09:10:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T09:18:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T09:26:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T09:34:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T09:42:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T09:50:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T09:58:47Z,28.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T10:06:47Z,28.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T10:14:47Z,29.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T10:22:47Z,29.0,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T10:30:47Z,29.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T10:38:47Z,29.5,3,999
201692fd-e9a0-4d55-813e-705dcbfd628d,2018-12-14T10:46:47Z,29.5,3,999
