"","fullname","basename","qa_date","sampleID","filterID","sampletype","fieldworkerID","HHID","loggerID","samplerate_minutes","sampling_duration","first_minutes_bl","last_minutes_bl","Run_avg","Run_sd","bg_start_flag","bg_end_flag","nonresponsive_flag","CO2_maxout_flag","CO_maxout_flag","flag_total","flags"
"1","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-09-19_KE152-KE005-E_3-Test011.xls","2019-09-19_KE152-KE005-E_3-Test011.xls",2019-10-20,"KE152-KE005-E",NA,"E",5,152,"3-Test011.xls",1,44,0.02,0,1.92888888888889,2.55757539853509,0,0,0,0,0,0,""
"2","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-09-24_KE126-KE004-E_3-Test012.xls","2019-09-24_KE126-KE004-E_3-Test012.xls",2019-10-20,"KE126-KE004-E",NA,"E",4,126,"3-Test012.xls",NA,NA,1.46,0,7.03030303030303,7.20947661278564,0,0,0,0,0,0,""
"3","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-09-24_KE157-KE013-E_Test034.xls","2019-09-24_KE157-KE013-E_Test034.xls",2019-10-20,"KE157-KE013-E",NA,"E",13,157,"Test034.xls",60,2.04972222222222,1.12,2.64,68.0733870967742,38.870071478285,0,0,0,0,0,0,""
"4","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-09-26_KE085-KE005-E_Test013.xls","2019-09-26_KE085-KE005-E_Test013.xls",2019-10-20,"KE085-KE005-E",NA,"E",5,85,"Test013.xls",1,38,3.48,3.9,18.3179487179487,16.6665576244746,0,0,0,0,0,0,""
"5","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-02_KE238-KE004-E_Test014.xls","2019-10-02_KE238-KE004-E_Test014.xls",2019-10-20,"KE238-KE004-E",NA,"E",4,238,"Test014.xls",1,1.35,0,0,33.0390243902439,33.8375923467755,0,0,0,0,0,0,""
