"","fullname","basename","qa_date","sampleID","filterID","sampletype","fieldworkerID","HHID","loggerID","samplerate_minutes","sampling_duration","night_hrs_bl","max_1hr_avg","Daily_avg","Daily_sd","max_1hr_avg_flag","Daily_avg_flag","Daily_stdev_flag","elevated_night_flag","nonresponsive_flag","sample_duration_flag","bl_flag","flag_total","flags"
"15","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-09-27_KE126-KE004-2_LAS1460","2019-09-27_KE126-KE004-2_LAS1460",2019-10-20,"KE126-KE004-2",NA,"2",4,126,"LAS1460",0.000277777777777778,4.01666666666667,0,32.375,4.52273120138289,9.64415506817903,0,0,1,0,0,0,0,1,"Daily_stdev"
"16","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-09-27_KE126-KE004-K_LAS1402","2019-09-27_KE126-KE004-K_LAS1402",2019-10-20,"KE126-KE004-K",NA,"K",4,126,"LAS1402",0.000277777777777778,22.65,0,0.13,0.00772058823529412,0.136088892905632,0,0,0,0,0,0,0,0,""
"17","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-09-27_KE157-KE005-L_LAS1493","2019-09-27_KE157-KE005-L_LAS1493",2019-10-20,"KE157-KE005-L",NA,"L",5,157,"LAS1493",0.000277777777777778,4.01041666666667,2,3.56666666666667,2.28808864265928,0.939661954377613,0,0,0,0,0,0,0,0,""
"18","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-02_KE238-KE004-1_LAS1460","2019-10-02_KE238-KE004-1_LAS1460",2019-10-20,"KE238-KE004-1",NA,"1",4,238,"LAS1460",0.000277777777777778,1.34513888888889,0,34.1583333333333,1.18446852425181,6.80953742553088,0,0,1,0,0,0,0,1,"Daily_stdev"
"19","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-02_KE238-KE004-2_LAS1476","2019-10-02_KE238-KE004-2_LAS1476",2019-10-20,"KE238-KE004-2",NA,"2",4,238,"LAS1476",0.000277777777777778,1.36805555555556,0,94.05,3.45814307458143,20.8038433193159,1,0,1,0,0,0,0,2,"max_1hr_avg, Daily_stdev"
"20","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-04_KE238-KE004-L_LAS1416","2019-10-04_KE238-KE004-L_LAS1416",2019-10-20,"KE238-KE004-L",NA,"L",4,238,"LAS1416",0.000277777777777778,3.31805555555556,0,0.658333333333333,0.0788867964009207,1.07087275385603,0,0,0,0,0,0,0,0,""
"21","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-08_KE157-KE01_KLAS1491","2019-10-08_KE157-KE01_KLAS1491",2019-10-20,"KE157-KE01",NA,NA,1,157,"KLAS1491",0.000277777777777778,7.01388888888889,0,105.216666666667,10.1760716760717,27.8704128339901,1,1,1,0,0,0,0,3,"max_1hr_avg, Daily_avg, Daily_stdev"
"22","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-08_KE157-KE01-K_LAS1491","2019-10-08_KE157-KE01-K_LAS1491",2019-10-20,"KE157-KE01-K",NA,"K",1,157,"LAS1491",0.000277777777777778,7.01388888888889,0,105.216666666667,10.1760716760717,27.8704128339901,1,1,1,0,0,0,0,3,"max_1hr_avg, Daily_avg, Daily_stdev"
"23","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-08_KE157-KE01-L_LAS1479","2019-10-08_KE157-KE01-L_LAS1479",2019-10-20,"KE157-KE01-L",NA,"L",1,157,"LAS1479",0.000277777777777778,7.00069444444444,3,5.55833333333333,2.98422931957945,0.998411219875423,0,0,0,0,0,0,0,0,""
"24","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-08_KE157-KE013-1_LAS1424","2019-10-08_KE157-KE013-1_LAS1424",2019-10-20,"KE157-KE013-1",NA,"1",13,157,"LAS1424",0.000277777777777778,8.05,NA,19.5,4.2551652892562,9.00111990809766,0,0,1,1,0,1,1,4,"Daily_stdev, elevated_night, sample_duration, bl"
"25","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-08_KE157-KE013-2_LAS1476","2019-10-08_KE157-KE013-2_LAS1476",2019-10-20,"KE157-KE013-2",NA,"2",13,157,"LAS1476",0.000277777777777778,8.75,NA,60.0333333333333,10.2053231939163,25.5915843717667,0,1,1,1,0,1,1,5,"Daily_avg, Daily_stdev, elevated_night, sample_duration, bl"
"26","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-14_KE053-KE011-L_LAS1478","2019-10-14_KE053-KE011-L_LAS1478",2019-10-20,"KE053-KE011-L",NA,"L",11,53,"LAS1478",0.000277777777777778,2.36319444444444,0,14.3416666666667,0.909077555816686,3.55400423157132,0,0,0,0,0,0,0,0,""
"27","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-14_KE229-KE004-L_LAS1408","2019-10-14_KE229-KE004-L_LAS1408",2019-10-20,"KE229-KE004-L",NA,"L",4,229,"LAS1408",0.000277777777777778,2.00625,3,4.44166666666667,2.72110726643599,1.28907764266903,0,0,0,0,0,0,0,0,""
"28","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-15_KE158-KE011-K_LAS1497","2019-10-15_KE158-KE011-K_LAS1497",2019-10-20,"KE158-KE011-K",NA,"K",11,158,"LAS1497",0.000277777777777778,1.33611111111111,3,142.541666666667,8.06051948051948,38.4258891924307,1,1,1,1,0,0,0,4,"max_1hr_avg, Daily_avg, Daily_stdev, elevated_night"
"29","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-15_KE26-KE05-L_LAS1425","2019-10-15_KE26-KE05-L_LAS1425",2019-10-20,"KE26-KE05-L",NA,"L",5,26,"LAS1425",0.000277777777777778,1.33888888888889,0,4.30833333333333,0.221617418351477,2.46400524835659,0,0,0,0,0,0,0,0,""
"30","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/Lascar/HAPLAS/2019-10-16_KE199-KE011-L_LAS1493","2019-10-16_KE199-KE011-L_LAS1493",2019-10-20,"KE199-KE011-L",NA,"L",11,199,"LAS1493",0.000277777777777778,1.34652777777778,1,2.16666666666667,0.852835051546392,0.75310408262461,0,0,0,0,0,0,0,0,""
