"","fullname","datestart","basename","basename_sansext","sampleID","loggerID","filterID","sampletype","fieldworkerIDstr","fieldworkerID","HHIDstr","HHID","flag","filename_flag"
"1","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/201-10-29_KE148-KE003-K_UCC320045N_CAA544raw",NA,"201-10-29_KE148-KE003-K_UCC320045N_CAA544raw","201-10-29_KE148-KE003-K_UCC320045N_CAA544raw","KE148-KE003-K","UCC320045N","CAA544raw","K","KE003",3,"KE148",148,"good",0
"2","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-09-18_KE154-KE010-C_UCC320110F_ZIPPYRA",2019-09-18,"2019-09-18_KE154-KE010-C_UCC320110F_ZIPPYRA","2019-09-18_KE154-KE010-C_UCC320110F_ZIPPYRA","KE154-KE010-C","UCC320110F","ZIPPYRA","C","KE010",10,"KE154",154,"good",0
"3","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-09-20_KE152-KE004-C_UCC320080N_CAA846",2019-09-20,"2019-09-20_KE152-KE004-C_UCC320080N_CAA846","2019-09-20_KE152-KE004-C_UCC320080N_CAA846","KE152-KE004-C","UCC320080N","CAA846","C","KE004",4,"KE152",152,"good",0
"4","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-09-20_KE152-KE004-K_UGF320577N_CAA753",2019-09-20,"2019-09-20_KE152-KE004-K_UGF320577N_CAA753","2019-09-20_KE152-KE004-K_UGF320577N_CAA753","KE152-KE004-K","UGF320577N","CAA753","K","KE004",4,"KE152",152,"good",0
"5","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-09-20_KE152-KE004-Y_ECM00466_CAA748",2019-09-20,"2019-09-20_KE152-KE004-Y_ECM00466_CAA748","2019-09-20_KE152-KE004-Y_ECM00466_CAA748","KE152-KE004-Y","ECM00466","CAA748","Y","KE004",4,"KE152",152,"good",0
"6","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-09-25_KE169-KE008-C_UCC320061N_CAA807",2019-09-25,"2019-09-25_KE169-KE008-C_UCC320061N_CAA807","2019-09-25_KE169-KE008-C_UCC320061N_CAA807","KE169-KE008-C","UCC320061N","CAA807","C","KE008",8,"KE169",169,"good",0
"7","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-09-25_KE169-KE008-Y_ECM00501_CAA731",2019-09-25,"2019-09-25_KE169-KE008-Y_ECM00501_CAA731","2019-09-25_KE169-KE008-Y_ECM00501_CAA731","KE169-KE008-Y","ECM00501","CAA731","Y","KE008",8,"KE169",169,"good",0
"8","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-09-26_KE126-KE003-C_UCC320015N_CAA808raw",2019-09-26,"2019-09-26_KE126-KE003-C_UCC320015N_CAA808raw","2019-09-26_KE126-KE003-C_UCC320015N_CAA808raw","KE126-KE003-C","UCC320015N","CAA808raw","C","KE003",3,"KE126",126,"good",0
"9","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-09-26_KE126-KE003-K_UCC320110F_CAA806raw",2019-09-26,"2019-09-26_KE126-KE003-K_UCC320110F_CAA806raw","2019-09-26_KE126-KE003-K_UCC320110F_CAA806raw","KE126-KE003-K","UCC320110F","CAA806raw","K","KE003",3,"KE126",126,"good",0
"10","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-09-26_KE157-KE006-C_UCC320129F_CAA841raw",2019-09-26,"2019-09-26_KE157-KE006-C_UCC320129F_CAA841raw","2019-09-26_KE157-KE006-C_UCC320129F_CAA841raw","KE157-KE006-C","UCC320129F","CAA841raw","C","KE006",6,"KE157",157,"good",0
