"","fullname","datestart","basename","basename_sansext","sampleID","loggerID","filterID","sampletype","fieldworkerIDstr","fieldworkerID","HHIDstr","HHID","flag","filename_flag"
"103","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-01_KE048-KE005-K_UCC320129F_CAA558raw",2019-11-01,"2019-11-01_KE048-KE005-K_UCC320129F_CAA558raw","2019-11-01_KE048-KE005-K_UCC320129F_CAA558raw","KE048-KE005-K","UCC320129F","CAA558raw","K","KE005",5,"KE048",48,"good",0
"104","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-01_KE048-KE005-Y_ECM00115_CAA720raw",2019-11-01,"2019-11-01_KE048-KE005-Y_ECM00115_CAA720raw","2019-11-01_KE048-KE005-Y_ECM00115_CAA720raw","KE048-KE005-Y","ECM00115","CAA720raw","Y","KE005",5,"KE048",48,"good",0
"105","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-01_KE162-KE003-C_UGF320415N_CAA541raw",2019-11-01,"2019-11-01_KE162-KE003-C_UGF320415N_CAA541raw","2019-11-01_KE162-KE003-C_UGF320415N_CAA541raw","KE162-KE003-C","UGF320415N","CAA541raw","C","KE003",3,"KE162",162,"good",0
"106","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-01_KE162-KE003-K_UCC320170F_CAA542raw",2019-11-01,"2019-11-01_KE162-KE003-K_UCC320170F_CAA542raw","2019-11-01_KE162-KE003-K_UCC320170F_CAA542raw","KE162-KE003-K","UCC320170F","CAA542raw","K","KE003",3,"KE162",162,"good",0
"107","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-01_KE162-KE003-Y_ECM00465_CAA714raw",2019-11-01,"2019-11-01_KE162-KE003-Y_ECM00465_CAA714raw","2019-11-01_KE162-KE003-Y_ECM00465_CAA714raw","KE162-KE003-Y","ECM00465","CAA714raw","Y","KE003",3,"KE162",162,"good",0
"108","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE053-KE009-C_UGF320609N_CAA561raw",2019-11-06,"2019-11-06_KE053-KE009-C_UGF320609N_CAA561raw","2019-11-06_KE053-KE009-C_UGF320609N_CAA561raw","KE053-KE009-C","UGF320609N","CAA561raw","C","KE009",9,"KE053",53,"good",0
"109","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE053-KE009-K_UGF320577N_CAA556raw",2019-11-06,"2019-11-06_KE053-KE009-K_UGF320577N_CAA556raw","2019-11-06_KE053-KE009-K_UGF320577N_CAA556raw","KE053-KE009-K","UGF320577N","CAA556raw","K","KE009",9,"KE053",53,"good",0
"110","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE053-KE09-Y_ECM00480_CAA719raw",2019-11-06,"2019-11-06_KE053-KE09-Y_ECM00480_CAA719raw","2019-11-06_KE053-KE09-Y_ECM00480_CAA719raw","KE053-KE09-Y","ECM00480","CAA719raw","Y","KE09",9,"KE053",53,"good",0
"111","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE062-KE010-C_UGF320431N_CAA547raw-Copy",2019-11-06,"2019-11-06_KE062-KE010-C_UGF320431N_CAA547raw-Copy","2019-11-06_KE062-KE010-C_UGF320431N_CAA547raw-Copy","KE062-KE010-C","UGF320431N","CAA547raw-Copy","C","KE010",10,"KE062",62,"good",0
"112","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE062-KE010-K_UCC320084N_CAA552raw",2019-11-06,"2019-11-06_KE062-KE010-K_UCC320084N_CAA552raw","2019-11-06_KE062-KE010-K_UCC320084N_CAA552raw","KE062-KE010-K","UCC320084N","CAA552raw","K","KE010",10,"KE062",62,"good",0
"113","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE062-KE010-Y_ECM00466_CAA617raw-Copy",2019-11-06,"2019-11-06_KE062-KE010-Y_ECM00466_CAA617raw-Copy","2019-11-06_KE062-KE010-Y_ECM00466_CAA617raw-Copy","KE062-KE010-Y","ECM00466","CAA617raw-Copy","Y","KE010",10,"KE062",62,"good",0
"114","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE069-KE010-C_UCC320141F_CAA550raw-Copy",2019-11-06,"2019-11-06_KE069-KE010-C_UCC320141F_CAA550raw-Copy","2019-11-06_KE069-KE010-C_UCC320141F_CAA550raw-Copy","KE069-KE010-C","UCC320141F","CAA550raw-Copy","C","KE010",10,"KE069",69,"good",0
"115","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE069-KE010-K_UCC320170F_CAA567raw",2019-11-06,"2019-11-06_KE069-KE010-K_UCC320170F_CAA567raw","2019-11-06_KE069-KE010-K_UCC320170F_CAA567raw","KE069-KE010-K","UCC320170F","CAA567raw","K","KE010",10,"KE069",69,"good",0
"116","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE069-KE010-Y_ECM00465_CAA604raw",2019-11-06,"2019-11-06_KE069-KE010-Y_ECM00465_CAA604raw","2019-11-06_KE069-KE010-Y_ECM00465_CAA604raw","KE069-KE010-Y","ECM00465","CAA604raw","Y","KE010",10,"KE069",69,"good",0
"117","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE148-KE003-C_UCC320080N_CAA531raw-Copy",2019-11-06,"2019-11-06_KE148-KE003-C_UCC320080N_CAA531raw-Copy","2019-11-06_KE148-KE003-C_UCC320080N_CAA531raw-Copy","KE148-KE003-C","UCC320080N","CAA531raw-Copy","C","KE003",3,"KE148",148,"good",0
"118","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE148-KE003-K_UGF320612N_CAA520raw-Copy",2019-11-06,"2019-11-06_KE148-KE003-K_UGF320612N_CAA520raw-Copy","2019-11-06_KE148-KE003-K_UGF320612N_CAA520raw-Copy","KE148-KE003-K","UGF320612N","CAA520raw-Copy","K","KE003",3,"KE148",148,"good",0
"119","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-06_KE148-KE003-Y_ECM00498_CAA605raw-Copy",2019-11-06,"2019-11-06_KE148-KE003-Y_ECM00498_CAA605raw-Copy","2019-11-06_KE148-KE003-Y_ECM00498_CAA605raw-Copy","KE148-KE003-Y","ECM00498","CAA605raw-Copy","Y","KE003",3,"KE148",148,"good",0
"120","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE038-KE008-C_UGF320577N_CAA525",2019-11-07,"2019-11-07_KE038-KE008-C_UGF320577N_CAA525","2019-11-07_KE038-KE008-C_UGF320577N_CAA525","KE038-KE008-C","UGF320577N","CAA525","C","KE008",8,"KE038",38,"good",0
"121","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE038-KE008-K_UGF320609N_CAA457raw-Copy",2019-11-07,"2019-11-07_KE038-KE008-K_UGF320609N_CAA457raw-Copy","2019-11-07_KE038-KE008-K_UGF320609N_CAA457raw-Copy","KE038-KE008-K","UGF320609N","CAA457raw-Copy","K","KE008",8,"KE038",38,"good",0
"122","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE038-KE008-Y_ECM00498_CAA614raw-Copy",2019-11-07,"2019-11-07_KE038-KE008-Y_ECM00498_CAA614raw-Copy","2019-11-07_KE038-KE008-Y_ECM00498_CAA614raw-Copy","KE038-KE008-Y","ECM00498","CAA614raw-Copy","Y","KE008",8,"KE038",38,"good",0
"123","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE040-KE003-C_UCC320080N_CAA560raw-Copy",2019-11-07,"2019-11-07_KE040-KE003-C_UCC320080N_CAA560raw-Copy","2019-11-07_KE040-KE003-C_UCC320080N_CAA560raw-Copy","KE040-KE003-C","UCC320080N","CAA560raw-Copy","C","KE003",3,"KE040",40,"good",0
"124","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE040-KE003-K_UCC320129F_CAA497raw-Copy",2019-11-07,"2019-11-07_KE040-KE003-K_UCC320129F_CAA497raw-Copy","2019-11-07_KE040-KE003-K_UCC320129F_CAA497raw-Copy","KE040-KE003-K","UCC320129F","CAA497raw-Copy","K","KE003",3,"KE040",40,"good",0
"125","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE040-KE003-Y_ECM00465_CAA618raw",2019-11-07,"2019-11-07_KE040-KE003-Y_ECM00465_CAA618raw","2019-11-07_KE040-KE003-Y_ECM00465_CAA618raw","KE040-KE003-Y","ECM00465","CAA618raw","Y","KE003",3,"KE040",40,"good",0
"126","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE152-KE008-C_UCC320111F_CAA535raw",2019-11-07,"2019-11-07_KE152-KE008-C_UCC320111F_CAA535raw","2019-11-07_KE152-KE008-C_UCC320111F_CAA535raw","KE152-KE008-C","UCC320111F","CAA535raw","C","KE008",8,"KE152",152,"good",0
"127","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE152-KE008-K_UCC320281N_CAA548raw",2019-11-07,"2019-11-07_KE152-KE008-K_UCC320281N_CAA548raw","2019-11-07_KE152-KE008-K_UCC320281N_CAA548raw","KE152-KE008-K","UCC320281N","CAA548raw","K","KE008",8,"KE152",152,"good",0
"128","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE152-KE008-Y_ECM00501_CAA613raw",2019-11-07,"2019-11-07_KE152-KE008-Y_ECM00501_CAA613raw","2019-11-07_KE152-KE008-Y_ECM00501_CAA613raw","KE152-KE008-Y","ECM00501","CAA613raw","Y","KE008",8,"KE152",152,"good",0
"129","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/MicroPEMandECMRawFiles/2019-11-07_KE155-KE004-C_UGF320490N_CAA527raw",2019-11-07,"2019-11-07_KE155-KE004-C_UGF320490N_CAA527raw","2019-11-07_KE155-KE004-C_UGF320490N_CAA527raw","KE155-KE004-C","UGF320490N","CAA527raw","C","KE004",4,"KE155",155,"good",0
