"","qa_date","fullname","basename","sampleID","filterID","sampletype","fieldworkerID","HHID","loggerID","shutdown_reason","dutycycle","AverageVolumetricFlowRate","RunTimeHrs","software_vers","datetime_start","filterID_upas","app_version","gps_lat_med","gps_lon_med","flow_mean","flow_sd","flow_min","flow_max","percent_flow_deviation","flow_flag","inletp_flag","temp_flag","rh_flag","shutdown_flag","filename_flag","flag_total","smry","analysis"
"11",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0963_LOG_2019-09-17T09_52_22UTC_KETEST1-KE004-E____126","PS0963_LOG_2019-09-17T09_52_22UTC_KETEST1-KE004-E____126","LOG","52",NA,NA,NA,"2019-09-17T09",1,100,1.009,0.15,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-17 09:52:22,"KETEST1-KE004-E","A2.1.9",0.500563,35.294035,1.009,0.012,1.001,1.047,0,0,0,0,0,0,1,1,TRUE,TRUE
"12",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0963_LOG_2019-09-17T11_34_23UTC_KE777-KE004-E______126","PS0963_LOG_2019-09-17T11_34_23UTC_KE777-KE004-E______126","LOG","34",NA,NA,NA,"2019-09-17T11",1,100,1.001,1.3,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-17 11:34:23,"KE777-KE004-E__","A2.1.9",0.4192,35.323296,1.001,0.013,0.89,1.067,0.01,0,0,0,0,0,1,1,TRUE,TRUE
"13",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0963_LOG_2019-09-19T08_47_58UTC_KE152-KE004________---","PS0963_LOG_2019-09-19T08_47_58UTC_KE152-KE004________---","LOG","47",NA,NA,NA,"2019-09-19T08",1,100,1.016,0.031,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-19 08:47:58,"KE152-KE004____","A2.1.9",0.500724,35.2940985,1.016,0.004,1.013,1.021,0,0,0,0,0,0,1,1,TRUE,TRUE
"14",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0963_LOG_2019-09-19T09_59_16UTC_KE152-KE004-E______381","PS0963_LOG_2019-09-19T09_59_16UTC_KE152-KE004-E______381","LOG","59",NA,NA,NA,"2019-09-19T09",1,100,1.006,0.701,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-19 09:59:16,"KE152-KE004-E__","A2.1.9",0,0,1.006,0.006,0.986,1.037,0,0,0,0,0,0,1,1,TRUE,TRUE
"15",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0963_LOG_2019-10-02T08_19_07UTC_KE238-KE004-E______419","PS0963_LOG_2019-10-02T08_19_07UTC_KE238-KE004-E______419","LOG","19",NA,NA,NA,"2019-10-02T08",1,100,1.002,1.362,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-10-02 08:19:07,"KE238-KE004-E__","A2.1.9",0,0,1.002,0.011,0.993,1.097,0,0,0,0,0,0,1,1,TRUE,TRUE
"16",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0965_LOG_2019-09-06T22_40_12UTC_---------------____---","PS0965_LOG_2019-09-06T22_40_12UTC_---------------____---","LOG","40",NA,NA,NA,"2019-09-06T22",1,100,1.003,0.003,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-06 22:40:12,"---------------","A2.2.0",0,0,1.003,NA,1.003,1.003,0,0,0,0,0,0,1,1,TRUE,TRUE
"17",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0965_LOG_2019-09-06T22_52_02UTC_---------------____---","PS0965_LOG_2019-09-06T22_52_02UTC_---------------____---","LOG","52",NA,NA,NA,"2019-09-06T22",1,100,1.019,5.289,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-06 22:52:02,"---------------","A2.2.0",0,0,1.018,0.08,0.354,1.831,0.08,1,0,0,0,0,1,2,TRUE,TRUE
"18",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0965_LOG_2019-09-23T14_59_21UTC_---------------____---","PS0965_LOG_2019-09-23T14_59_21UTC_---------------____---","LOG","59",NA,NA,NA,"2019-09-23T14",1,100,1.015,0.058,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-23 14:59:21,"---------------","A2.1.9",0,0,1.015,0.005,1.009,1.022,0,0,0,0,0,0,1,1,TRUE,TRUE
"19",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0967_LOG_2019-09-25T05_40_56UTC_KE152-KE004________420","PS0967_LOG_2019-09-25T05_40_56UTC_KE152-KE004________420","LOG","40",NA,NA,NA,"2019-09-25T05",1,100,1.018,0.015,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-25 05:40:56,"KE152-KE004____","A2.1.9",0,0,1.018,0.001,1.017,1.018,0,0,0,0,0,0,1,1,TRUE,TRUE
"20",2019-10-09,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/Ben/PS0967_LOG_2019-09-26T09_19_07UTC_KE085-KE005-E______420","PS0967_LOG_2019-09-26T09_19_07UTC_KE085-KE005-E______420","LOG","19",NA,NA,NA,"2019-09-26T09",1,100,0.997,0.646,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC",2019-09-26 09:19:07,"KE085-KE005-E__","A2.1.9",0,0,0.997,0.014,0.885,1.007,0.01,0,0,0,0,0,1,1,TRUE,TRUE
